Date,Confirmed,Deaths,Recovered/Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries
2020-01-22,557,17,540,0,0,0,3.05,96.95,3.15,6
2020-01-23,657,18,639,100,1,99,2.74,97.26,2.82,9
2020-01-24,944,26,918,287,8,279,2.75,97.25,2.83,10
2020-01-25,1437,42,1395,493,16,477,2.92,97.08,3.01,12
2020-01-26,2120,56,2064,683,14,669,2.64,97.36,2.71,13
2020-01-27,2929,82,2847,809,26,783,2.8,97.2,2.88,16
2020-01-28,5580,131,5449,2651,49,2602,2.35,97.65,2.4,16
2020-01-29,6169,133,6036,589,2,587,2.16,97.84,2.2,18
2020-01-30,8237,172,8065,2068,39,2029,2.09,97.91,2.13,20
2020-01-31,9927,214,9713,1690,42,1648,2.16,97.84,2.2,23
2020-02-01,12038,260,11778,2111,46,2065,2.16,97.84,2.21,25
2020-02-02,16787,364,16423,4749,104,4645,2.17,97.83,2.22,25
2020-02-03,19887,428,19459,3100,64,3036,2.15,97.85,2.2,25
2020-02-04,23899,494,23405,4012,66,3946,2.07,97.93,2.11,26
2020-02-05,27644,566,27078,3745,72,3673,2.05,97.95,2.09,26
2020-02-06,30806,636,30170,3162,70,3092,2.06,97.94,2.11,26
2020-02-07,34339,721,33618,3533,85,3448,2.1,97.9,2.14,26
2020-02-08,37070,808,36262,2731,87,2644,2.18,97.82,2.23,26
2020-02-09,40098,908,39190,3028,100,2928,2.26,97.74,2.32,26
2020-02-10,42636,1015,41621,2538,107,2431,2.38,97.62,2.44,26
2020-02-11,44679,1115,43564,2043,100,1943,2.5,97.5,2.56,26
2020-02-12,45057,1120,43937,378,5,373,2.49,97.51,2.55,26
2020-02-13,60209,1373,58836,15152,253,14899,2.28,97.72,2.33,26
2020-02-14,66694,1525,65169,6485,152,6333,2.29,97.71,2.34,27
2020-02-15,68770,1668,67102,2076,143,1933,2.43,97.57,2.49,27
2020-02-16,70883,1772,69111,2113,104,2009,2.5,97.5,2.56,27
2020-02-17,72819,1870,70949,1936,98,1838,2.57,97.43,2.64,27
2020-02-18,74613,2010,72603,1794,140,1654,2.69,97.31,2.77,27
2020-02-19,75034,2125,72909,421,115,306,2.83,97.17,2.91,28
2020-02-20,75582,2248,73334,548,123,425,2.97,97.03,3.07,28
2020-02-21,76212,2252,73960,630,4,626,2.95,97.05,3.04,30
2020-02-22,77974,2460,75514,1762,208,1554,3.15,96.85,3.26,30
2020-02-23,78299,2470,75829,325,10,315,3.15,96.85,3.26,31
2020-02-24,78867,2630,76237,568,160,408,3.33,96.67,3.45,36
2020-02-25,79721,2710,77011,854,80,774,3.4,96.6,3.52,41
2020-02-26,80679,2770,77909,959,60,898,3.43,96.57,3.56,47
2020-02-27,82023,2813,79210,1344,43,1301,3.43,96.57,3.55,50
2020-02-28,83447,2870,80577,1424,57,1367,3.44,96.56,3.56,55
2020-02-29,85318,2940,82378,1871,70,1801,3.45,96.55,3.57,60
2020-03-01,87697,2994,84703,2379,54,2325,3.41,96.59,3.53,65
2020-03-02,89677,3084,86593,1980,90,1890,3.44,96.56,3.56,72
2020-03-03,92288,3158,89130,2611,74,2537,3.42,96.58,3.54,75
2020-03-04,94632,3254,91378,2344,96,2248,3.44,96.56,3.56,79
2020-03-05,97372,3349,94023,2740,95,2645,3.44,96.56,3.56,83
2020-03-06,101356,3463,97893,3984,114,3870,3.42,96.58,3.54,92
2020-03-07,105493,3567,101926,4137,104,4033,3.38,96.62,3.5,93
2020-03-08,109291,3809,105482,3798,242,3556,3.49,96.51,3.61,98
2020-03-09,113586,4003,109583,4295,194,4101,3.52,96.48,3.65,100
2020-03-10,118345,4278,114067,4759,275,4484,3.61,96.39,3.75,104
2020-03-11,125821,4629,121192,7504,351,7125,3.68,96.32,3.82,110
2020-03-12,132577,4950,127627,6756,321,6435,3.73,96.27,3.88,112
2020-03-13,145769,5453,140316,13192,503,12689,3.74,96.26,3.89,118
2020-03-14,156657,5879,150778,10888,426,10462,3.75,96.25,3.9,132
2020-03-15,167890,6550,161340,11233,671,10562,3.9,96.1,4.06,137
2020-03-16,182457,7261,175196,14567,711,13856,3.98,96.02,4.14,142
2020-03-17,197625,8112,189513,15168,851,14317,4.1,95.9,4.28,146
2020-03-18,215179,9068,206111,17554,956,16598,4.21,95.79,4.4,150
2020-03-19,242266,10210,232056,27087,1142,25945,4.21,95.79,4.4,155
2020-03-20,271795,11784,260011,29531,1574,27955,4.34,95.66,4.53,162
2020-03-21,304222,13591,290631,32433,1807,30620,4.47,95.53,4.68,164
2020-03-22,338431,15418,323013,34209,1827,32382,4.56,95.44,4.77,169
2020-03-23,380986,17514,363472,42555,2096,40459,4.6,95.4,4.82,170
2020-03-24,422869,19938,402931,41898,2424,39459,4.71,95.29,4.95,172
2020-03-25,474350,22909,451441,51481,2971,48510,4.83,95.17,5.07,175
2020-03-26,535164,26162,509002,60814,3253,57561,4.89,95.11,5.14,175
2020-03-27,599095,29801,569294,63931,3639,60292,4.97,95.03,5.23,176
2020-03-28,668675,33850,634825,69580,4049,65531,5.06,94.94,5.33,176
2020-03-29,725191,37669,687522,56516,3819,52697,5.19,94.81,5.48,176
2020-03-30,790202,42039,748163,65011,4370,60641,5.32,94.68,5.62,177
2020-03-31,868644,47207,821437,78442,5168,73274,5.43,94.57,5.75,179
2020-04-01,954994,53848,901146,86350,6641,79709,5.64,94.36,5.98,179
2020-04-02,1037442,60101,977341,82448,6253,76195,5.79,94.21,6.15,180
2020-04-03,1121652,66602,1055050,84210,6501,77709,5.94,94.06,6.31,180
2020-04-04,1181773,72961,1108812,77197,6359,53762,6.17,93.83,6.58,180
2020-04-05,1253488,78882,1174606,71715,5921,65794,6.29,93.71,6.72,181
2020-04-06,1328214,85310,1242904,74726,6428,68298,6.42,93.58,6.86,182
2020-04-07,1397152,93827,1303325,72427,8517,60421,6.72,93.28,7.2,182
2020-04-08,1479328,101047,1378281,82176,7220,74956,6.83,93.17,7.33,182
2020-04-09,1566509,109202,1457307,87181,8155,79026,6.97,93.03,7.49,182
2020-04-10,1652931,116943,1535988,86422,7741,78681,7.07,92.93,7.61,183
2020-04-11,1728446,123925,1604521,75515,6982,68533,7.17,92.83,7.72,183
2020-04-12,1847027,130439,1716588,118602,6514,112067,7.06,92.94,7.6,183
2020-04-13,1918859,136952,1781907,71832,6513,65319,7.14,92.86,7.69,183
2020-04-14,2003492,144308,1859184,84633,7356,77277,7.2,92.8,7.76,183
2020-04-15,2081748,153073,1928675,78256,8765,69491,7.35,92.65,7.94,183
2020-04-16,2176216,160785,2015431,94468,7712,86756,7.39,92.61,7.98,183
2020-04-17,2264097,169672,2094425,87881,8887,78994,7.49,92.51,8.1,183
2020-04-18,2342349,176102,2166247,78253,6430,71822,7.52,92.48,8.13,183
2020-04-19,2418671,182203,2236468,76322,6101,70221,7.53,92.47,8.15,183
2020-04-20,2495153,188714,2306439,76482,6511,69971,7.56,92.44,8.18,183
2020-04-21,2571240,195910,2375330,76087,7196,68891,7.62,92.38,8.25,183
2020-04-22,2653278,203188,2450090,82038,7278,74760,7.66,92.34,8.29,183
2020-04-23,2735995,210458,2525537,84426,7270,75447,7.69,92.31,8.33,183
2020-04-24,2819558,217297,2602261,93597,6839,76724,7.71,92.29,8.35,183
2020-04-25,2902763,223347,2679416,83205,6050,77155,7.69,92.31,8.34,183
2020-04-26,2973558,228163,2745395,70796,4816,65979,7.67,92.33,8.31,183
2020-04-27,3044542,233608,2810934,70984,5445,65539,7.67,92.33,8.31,183
2020-04-28,3120374,240237,2880137,75832,6629,69203,7.7,92.3,8.34,183
